vebli,block,totrev,shifts,high,firstblock,block1,block2,block3,maxhigh,other,group,shifts_fe,totrev_fe,experiment,odd,fahrer,_merge,_est_rev1,_est_rev2,_est_rev3,_est_rev4,_est_shift1,_est_shift2,_est_shift3,_est_shift4
1,2,4412.9,15,0,14864,0,1,0,1,0,"CG Veloblitz",3.666667,959.4335,1,0,24,3,1,1,1,1,1,1,1,1
1,3,5008,15,1,14913,0,0,1,1,0,"TG Veloblitz",3.666667,1554.533,1,0,24,3,1,1,1,1,1,1,1,1
1,1,2022.9,8,0,14836,1,0,0,1,0,"CG Veloblitz",1,267.4333,0,1,25,3,1,1,1,1,1,1,1,1
1,2,1639.5,7,1,14864,0,1,0,1,0,"TG Veloblitz",0,-115.9667,1,1,25,3,1,1,1,1,1,1,1,1
1,3,1604,6,0,14913,0,0,1,1,0,"CG Veloblitz",-1,-151.4667,1,1,25,3,1,1,1,1,1,1,1,1
1,1,279.5,1,0,14836,1,0,0,1,0,"CG Veloblitz",-4,-1264.633,0,1,28,3,1,1,1,1,1,1,1,1
1,2,3696.4,12,1,14864,0,1,0,1,0,"TG Veloblitz",7,2152.267,1,1,28,3,1,1,1,1,1,1,1,1
1,3,656.5,2,0,14913,0,0,1,1,0,"CG Veloblitz",-3,-887.6333,1,1,28,3,1,1,1,1,1,1,1,1
1,1,1295.6,5,0,14836,1,0,0,1,0,"CG Veloblitz",-7.333333,-1956.233,0,0,30,3,1,1,1,1,1,1,1,1
1,2,4302.9,15,0,14864,0,1,0,1,0,"CG Veloblitz",2.666667,1051.067,1,0,30,3,1,1,1,1,1,1,1,1
1,3,4157,17,1,14913,0,0,1,1,0,"TG Veloblitz",4.666667,905.1667,1,0,30,3,1,1,1,1,1,1,1,1
1,1,314,1,0,14836,1,0,0,1,0,"CG Veloblitz",-2.333333,-642.3333,0,0,31,3,1,1,1,1,1,1,1,1
1,2,1409,5,0,14864,0,1,0,1,0,"CG Veloblitz",1.666667,452.6667,1,0,31,3,1,1,1,1,1,1,1,1
1,3,1146,4,1,14913,0,0,1,1,0,"TG Veloblitz",.6666667,189.6667,1,0,31,3,1,1,1,1,1,1,1,1
1,1,1160.5,3,0,14836,1,0,0,1,0,"CG Veloblitz",-1,-7.699951,0,1,32,3,1,1,1,1,1,1,1,1
1,2,2344.1,9,1,14864,0,1,0,1,0,"TG Veloblitz",5,1175.9,1,1,32,3,1,1,1,1,1,1,1,1
1,3,0,0,0,14913,0,0,1,1,0,"CG Veloblitz",-4,-1168.2,1,1,32,3,1,1,1,1,1,1,1,1
1,1,3255.5,11,0,14836,1,0,0,1,0,"CG Veloblitz",-1.666667,-612,0,1,33,3,1,1,1,1,1,1,1,1
1,2,4504.5,15,1,14864,0,1,0,1,0,"TG Veloblitz",2.333333,637,1,1,33,3,1,1,1,1,1,1,1,1
1,3,3842.5,12,0,14913,0,0,1,1,0,"CG Veloblitz",-.666667,-25,1,1,33,3,1,1,1,1,1,1,1,1
1,1,11516.2,29,0,14836,1,0,0,1,0,"CG Veloblitz",2,714.867,0,1,34,3,1,1,1,1,1,1,1,1
1,2,12487.8,30,1,14864,0,1,0,1,0,"TG Veloblitz",3,1686.467,1,1,34,3,1,1,1,1,1,1,1,1
1,3,8400,22,0,14913,0,0,1,1,0,"CG Veloblitz",-5,-2401.333,1,1,34,3,1,1,1,1,1,1,1,1
1,1,2709.5,11,0,14836,1,0,0,1,0,"CG Veloblitz",4,1079.2,0,1,35,3,1,1,1,1,1,1,1,1
1,2,1168.5,6,1,14864,0,1,0,1,0,"TG Veloblitz",-1,-461.8,1,1,35,3,1,1,1,1,1,1,1,1
1,3,1012.9,4,0,14913,0,0,1,1,0,"CG Veloblitz",-3,-617.4,1,1,35,3,1,1,1,1,1,1,1,1
1,1,4097,12,0,14836,1,0,0,1,0,"CG Veloblitz",1,347.8,0,0,36,3,1,1,1,1,1,1,1,1
1,2,3835.1,11,0,14864,0,1,0,1,0,"CG Veloblitz",0,85.90005,1,0,36,3,1,1,1,1,1,1,1,1
1,3,3315.5,10,1,14913,0,0,1,1,0,"TG Veloblitz",-1,-433.7,1,0,36,3,1,1,1,1,1,1,1,1
1,1,3733.5,12,0,14836,1,0,0,1,0,"CG Veloblitz",-.333333,-154.7666,0,1,37,3,1,1,1,1,1,1,1,1
1,2,4439.3,14,1,14864,0,1,0,1,0,"TG Veloblitz",1.666667,551.0334,1,1,37,3,1,1,1,1,1,1,1,1
1,3,3492,11,0,14913,0,0,1,1,0,"CG Veloblitz",-1.333333,-396.2666,1,1,37,3,1,1,1,1,1,1,1,1
1,1,4080.4,16,0,14836,1,0,0,1,0,"CG Veloblitz",2,549.1666,0,1,38,3,1,1,1,1,1,1,1,1
1,2,4105.8,17,1,14864,0,1,0,1,0,"TG Veloblitz",3,574.5666,1,1,38,3,1,1,1,1,1,1,1,1
1,3,2407.5,9,0,14913,0,0,1,1,0,"CG Veloblitz",-5,-1123.733,1,1,38,3,1,1,1,1,1,1,1,1
1,1,6905.5,20,0,14836,1,0,0,1,0,"CG Veloblitz",3.666666,1273.167,0,1,42,3,1,1,1,1,1,1,1,1
1,2,4510.5,14,1,14864,0,1,0,1,0,"TG Veloblitz",-2.333334,-1121.833,1,1,42,3,1,1,1,1,1,1,1,1
1,3,5481,15,0,14913,0,0,1,1,0,"CG Veloblitz",-1.333334,-151.3335,1,1,42,3,1,1,1,1,1,1,1,1
1,1,2088,7,0,14836,1,0,0,1,0,"CG Veloblitz",-.6666665,-128.1667,0,0,44,3,1,1,1,1,1,1,1,1
1,2,2610,8,0,14864,0,1,0,1,0,"CG Veloblitz",.3333335,393.8333,1,0,44,3,1,1,1,1,1,1,1,1
1,3,1950.5,8,1,14913,0,0,1,1,0,"TG Veloblitz",.3333335,-265.6667,1,0,44,3,1,1,1,1,1,1,1,1
1,1,4219.2,16,0,14836,1,0,0,1,0,"CG Veloblitz",8,1955.133,0,1,45,3,1,1,1,1,1,1,1,1
1,2,2573,8,1,14864,0,1,0,1,0,"TG Veloblitz",0,308.9333,1,1,45,3,1,1,1,1,1,1,1,1
1,3,0,0,0,14913,0,0,1,1,0,"CG Veloblitz",-8,-2264.067,1,1,45,3,1,1,1,1,1,1,1,1
1,1,3387.5,16,0,14836,1,0,0,1,0,"CG Veloblitz",4,649,0,1,49,3,1,1,1,1,1,1,1,1
1,2,4304,17,1,14864,0,1,0,1,0,"TG Veloblitz",5,1565.5,1,1,49,3,1,1,1,1,1,1,1,1
1,3,524,3,0,14913,0,0,1,1,0,"CG Veloblitz",-9,-2214.5,1,1,49,3,1,1,1,1,1,1,1,1
